movie_id,person_name,role,debut_year,years_active,last_five_films,last_five_ids
99861,Mark Ruffalo,Actor,1994,31,Karma (2026) as Actor; Crime 101 (2026) as Actor; GenX: the Saga of Forever Chemicals (2025) as Producer; Now You See Me: Now You Don't (2025) as Actor; Mickey 17 (2025) as Actor,1418998; 1171145; 1405097; 425274; 696506
76341,George Miller,Director,1971,54,Highway to Valhalla: In Pursuit of Furiosa (2024) as Actor; Highway to Valhalla: In Pursuit of Furiosa (2024) as Thanks; Furiosa: A Mad Max Saga (2024) as Writer; Furiosa: A Mad Max Saga (2024) as Director; Furiosa: A Mad Max Saga (2024) as Producer,1327632; 1327632; 786892; 786892; 786892
76341,Doug Mitchell,Producer,1985,40,Highway to Valhalla: In Pursuit of Furiosa (2024) as Actor; Highway to Valhalla: In Pursuit of Furiosa (2024) as Thanks; Furiosa: A Mad Max Saga (2024) as Producer; Three Thousand Years of Longing (2022) as Producer; Mad Max: Fury Road (2015) as Producer,1327632; 1327632; 786892; 556694; 76341
76341,George Miller,Producer,1971,54,Highway to Valhalla: In Pursuit of Furiosa (2024) as Actor; Highway to Valhalla: In Pursuit of Furiosa (2024) as Thanks; Furiosa: A Mad Max Saga (2024) as Writer; Furiosa: A Mad Max Saga (2024) as Director; Furiosa: A Mad Max Saga (2024) as Producer,1327632; 1327632; 786892; 786892; 786892
76341,P.J. Voeten,Producer,1986,39,Highway to Valhalla: In Pursuit of Furiosa (2024) as Actor; Furiosa: A Mad Max Saga (2024) as First Assistant Director; Three Thousand Years of Longing (2022) as First Assistant Director; Mortal Kombat (2021) as First Assistant Director; Aquaman (2018) as First Assistant Director,1327632; 786892; 556694; 460465; 297802
76341,Tom Hardy,Actor,2001,24,Havoc (2025) as Actor; Havoc (2025) as Producer; Venom: The Last Dance (2024) as Actor; Venom: The Last Dance (2024) as Producer; Venom: The Last Dance (2024) as Story,668489; 668489; 912649; 912649; 912649
76341,Charlize Theron,Actor,1995,30,The Odyssey (2026) as Actor; The Old Guard 2 (2025) as Actor; The Old Guard 2 (2025) as Producer; High & Low – John Galliano (2024) as Actor; Fast X (2023) as Actor,1368337; 846422; 846422; 1129123; 385687
76341,Nicholas Hoult,Actor,1996,29,How to Rob a Bank (2026) as Actor; Superman (2025) as Actor; Nosferatu: An Inside Look (2024) as Actor; Nosferatu (2024) as Actor; The Order (2024) as Actor,1437511; 1061474; 1409675; 426063; 1082195
150689,Kenneth Branagh,Director,1981,44,The King of Kings (2025) as Actor; A Haunting in Venice (2023) as Actor; A Haunting in Venice (2023) as Director; A Haunting in Venice (2023) as Producer; Oppenheimer (2023) as Actor,1181107; 945729; 945729; 945729; 872585
150689,Simon Kinberg,Producer,2005,20,The Running Man (2025) as Producer; Deadpool & Wolverine (2024) as Executive Producer; Lift (2024) as Producer; A Haunting in Venice (2023) as Producer; Death on the Nile (2022) as Executive Producer,798645; 533535; 955916; 945729; 505026
150689,Allison Shearmur,Producer,2011,14,Chaos Walking (2021) as Producer; The One and Only Ivan (2020) as Producer; Solo: A Star Wars Story (2018) as In Memory Of; Solo: A Star Wars Story (2018) as Producer; Dirty Dancing (2017) as Executive Producer,412656; 508570; 348350; 348350; 444902
150689,David Barron,Producer,1983,42,Emily (2022) as Producer; Escape from Pretoria (2020) as Producer; Terminal (2018) as Producer; The Legend of Tarzan (2016) as Producer; Cinderella (2015) as Producer,707103; 502425; 385332; 258489; 150689
150689,Lily James,Actor,2011,14,The Angry Birds Movie 3 (2027) as Actor; Relay (2025) as Actor; Greedy People (2024) as Actor; Finally Dawn (2024) as Actor; The Iron Claw (2023) as Actor,1300926; 1088166; 974250; 1013869; 850165
150689,Cate Blanchett,Actor,1990,35,Black Bag (2025) as Actor; Black Bag (2025) as Associate Producer; Bozo Over Roses (2025) as Actor; VOGUE: Inventing the Runway (2024) as Actor; Marion (2024) as Executive Producer,1233575; 1233575; 1399722; 1394969; 1240837
150689,Richard Madden,Actor,2000,25,Killer Heat (2024) as Actor; Marvel Studios Assembled: The Making of Eternals (2022) as Actor; Eternals (2021) as Actor; 1917 (2019) as Actor; Rocketman (2019) as Actor,1108566; 939356; 524434; 530915; 504608
257211,Nancy Meyers,Director,1980,45,Father of the Bride Part 3 (ish) (2020) as Writer; Father of the Bride Part 3 (ish) (2020) as Director; Home Again (2017) as Producer; The Intern (2015) as Director; The Intern (2015) as Producer,746358; 746358; 427900; 257211; 257211
257211,Nancy Meyers,Producer,1980,45,Father of the Bride Part 3 (ish) (2020) as Writer; Father of the Bride Part 3 (ish) (2020) as Director; Home Again (2017) as Producer; The Intern (2015) as Director; The Intern (2015) as Producer,746358; 746358; 427900; 257211; 257211
257211,Suzanne Farwell,Producer,2003,22,Audrey's Children (2025) as Executive Producer; Sitting in Bars with Cake (2023) as Producer; True Spirit (2023) as Executive Producer; Z-O-M-B-I-E-S 3 (2022) as Executive Producer; Upside-Down Magic (2020) as Executive Producer,1003083; 936952; 739986; 809107; 671583
257211,Robert De Niro,Actor,1965,60,Tin Soldier (2025) as Actor; The Alto Knights (2025) as Actor; SNL50: The Homecoming Concert (2025) as Actor; How to Rob a Bank (2024) as Actor; Ezra (2024) as Actor,977294; 1013601; 1433330; 1291143; 977262
257211,Anne Hathaway,Actor,2001,24,The Odyssey (2026) as Actor; Verity (2026) as Actor; Verity (2026) as Producer; Flowervale Street (2026) as Actor; The Tonight Show Starring Jimmy Fallon: 10th Anniversary Special (2024) as Actor,1368337; 1283515; 1283515; 1101383; 1296327
257211,Rene Russo,Actor,1989,36,Avengers: Endgame (2019) as Actor; Velvet Buzzsaw (2019) as Actor; Just Getting Started (2017) as Actor; The Intern (2015) as Actor; Frank and Cindy (2015) as Actor,299534; 463684; 398177; 257211; 345170
168259,James Wan,Director,1998,27,Insidious: The Bleeding World (2026) as Producer; Incidents Around the House (2026) as Producer; The Mummy (2026) as Producer; SOULM8TE (2025) as Story; SOULM8TE (2025) as Producer,1291595; 1400837; 1304313; 1307118; 1307118
168259,Vin Diesel,Producer,1984,41,Fast X (2023) as Actor; Fast X (2023) as Producer; Fast & Furious Greatest Moments: Refuelled (2023) as Actor; Guardians of the Galaxy Vol. 3 (2023) as Actor; The Guardians of the Galaxy Holiday Special (2022) as Actor,385687; 385687; 1158476; 447365; 774752
168259,Neal H. Moritz,Producer,1990,35,Sonic the Hedgehog 4 (2027) as Producer; Afterburn (2025) as Producer; I Know What You Did Last Summer (2025) as Producer; Sonic the Hedgehog 3 (2024) as Producer; Fast X (2023) as Producer,1401586; 507244; 1083433; 939243; 385687
168259,Michael Fottrell,Producer,1980,45,Boston Strangler (2023) as Executive Producer; The Fate of the Furious (2017) as Producer; The Fate of the Furious (2017) as Unit Production Manager; Central Intelligence (2016) as Producer; Central Intelligence (2016) as Unit Production Manager,881164; 337339; 337339; 302699; 302699
168259,Vin Diesel,Actor,1984,41,Fast X (2023) as Actor; Fast X (2023) as Producer; Fast & Furious Greatest Moments: Refuelled (2023) as Actor; Guardians of the Galaxy Vol. 3 (2023) as Actor; The Guardians of the Galaxy Holiday Special (2022) as Actor,385687; 385687; 1158476; 447365; 774752
168259,Paul Walker,Actor,1986,39,Fast X (2023) as Actor; Paul Walker: Behind Closed Doors (2018) as Actor; I Am Paul Walker (2018) as Actor; Furious 7 (2015) as Actor; Furious 7 (2015) as In Memory Of,385687; 564493; 538161; 168259; 168259
168259,Dwayne Johnson,Actor,1996,29,Untitled Jumanji: The Next Level Sequel (2026) as Producer; Moana (2026) as Actor; Moana (2026) as Producer; The Smashing Machine (2025) as Actor; The Smashing Machine (2025) as Producer,1260649; 1108427; 1108427; 760329; 760329
177677,Christopher McQuarrie,Director,1993,32,Mission: Impossible - The Final Reckoning (2025) as Producer; Mission: Impossible - The Final Reckoning (2025) as Writer; Mission: Impossible - The Final Reckoning (2025) as Director; Tom Cruise: The Last Movie Star (2023) as Actor; Mission: Impossible - Dead Reckoning Part One (2023) as Writer,575265; 575265; 575265; 1133142; 575264
177677,J.J. Abrams,Producer,1982,43,"Oh, the Places You'll Go! (2028) as Producer; Flowervale Street (2026) as Producer; Music by John Williams (2024) as Actor; Elizabeth Taylor: The Lost Tapes (2024) as Producer; The Blue Angels (2024) as Producer",748865; 1101383; 1076708; 1279112; 1120821
177677,David Ellison,Producer,2005,20,The Old Guard 2 (2025) as Producer; Fountain of Youth (2025) as Producer; Mission: Impossible - The Final Reckoning (2025) as Executive Producer; Flink's Pigeon Problems (2025) as Executive Producer; The Gorge (2025) as Producer,846422; 1098006; 575265; 1451406; 950396
177677,Tom Cruise,Producer,1981,44,Judy (2026) as Actor; Judy (2026) as Producer; Mission: Impossible - The Final Reckoning (2025) as Actor; Mission: Impossible - The Final Reckoning (2025) as Producer; Tom Cruise La Dernière légende d'Hollywood (2025) as Actor,1248832; 1248832; 575265; 575265; 1479180
177677,Bryan Burk,Producer,1991,34,Werewolf by Night (2022) as Thanks; Mission: Impossible - Fallout (2018) as Producer; Jane (2017) as Producer; Star Trek Beyond (2016) as Producer; John Williams: The Seventh Symphony (2016) as Actor,894205; 353081; 470819; 188927; 570917
177677,Don Granger,Producer,2003,22,The Old Guard 2 (2025) as Producer; Fountain of Youth (2025) as Producer; Mission: Impossible - The Final Reckoning (2025) as Executive Producer; The Gorge (2025) as Producer; The Family Plan (2023) as Producer,846422; 1098006; 575265; 950396; 1029575
177677,Tom Cruise,Actor,1981,44,Judy (2026) as Actor; Judy (2026) as Producer; Mission: Impossible - The Final Reckoning (2025) as Actor; Mission: Impossible - The Final Reckoning (2025) as Producer; Tom Cruise La Dernière légende d'Hollywood (2025) as Actor,1248832; 1248832; 575265; 575265; 1479180
177677,Jeremy Renner,Actor,1995,30,"The 92nd Annual Hollywood Christmas Parade (2024) as Actor; Jeremy Renner: The Diane Sawyer Interview - A Story of Terror, Survival and Triumph (2023) as Actor; Marvel Studios Assembled: The Making of Hawkeye (2022) as Actor; Marvel Studios' 2021 Disney+ Day Special (2021) as Actor; Back Home Again (2021) as Actor",1403546; 1106227; 936643; 877188; 894203
177677,Simon Pegg,Actor,1999,26,Ice Age 6 (2026) as Actor; Mission: Impossible - The Final Reckoning (2025) as Actor; Angel Pavement (2024) as Actor; Nandor Fodor and the Talking Mongoose (2023) as Actor; Nandor Fodor and the Talking Mongoose (2023) as Executive Producer,1384758; 575265; 1406385; 979287; 979287
135397,Colin Trevorrow,Director,2002,23,Deep Cover (2025) as Writer; Deep Cover (2025) as Producer; Why Dinosaurs? (2024) as Actor; Jurassic World Camp Cretaceous: Hidden Adventure (2022) as Executive Producer; Jurassic Greatest Moments: Jurassic Park to Jurassic World (2022) as Actor,1239193; 1239193; 1275965; 1036956; 995456
135397,Frank Marshall,Producer,1968,57,Spinal Tap II: The End Continues (2025) as Executive Producer; Jurassic World Rebirth (2025) as Producer; Music by John Williams (2024) as Actor; Music by John Williams (2024) as Producer; Death by Numbers (2024) as Executive Producer,975225; 1234821; 1076708; 1076708; 1356881
135397,Patrick Crowley,Producer,1984,41,Jurassic World Rebirth (2025) as Producer; Twisters (2024) as Producer; Jurassic World Dominion (2022) as Unit Production Manager; Jurassic World Dominion (2022) as Producer; Battle at Big Rock (2019) as Producer,1234821; 718821; 507086; 507086; 630322
135397,Chris Pratt,Actor,2000,25,Mercy (2026) as Actor; The Electric State (2025) as Actor; Fighting Spirit: A Combat Chaplain's Journey (2024) as Executive Producer; The Tonight Show Starring Jimmy Fallon: 10th Anniversary Special (2024) as Actor; The Garfield Movie (2024) as Actor,1236153; 777443; 1037558; 1296327; 748783
135397,Bryce Dallas Howard,Actor,1989,36,Deep Cover (2025) as Actor; Pets (2025) as Director; Pets (2025) as Producer; Argylle (2024) as Actor; Jurassic Greatest Moments: Jurassic Park to Jurassic World (2022) as Actor,1239193; 1446946; 1446946; 848538; 995456
135397,Irrfan Khan,Actor,1988,37,Murder At Teesri Manzil 302 (2021) as Actor; Angrezi Medium (2020) as Actor; The Song of Scorpions (2019) as Actor; Karwaan (2018) as Actor; Puzzle (2018) as Actor,921403; 606717; 452095; 533237; 492998
214756,Seth MacFarlane,Director,1995,30,The Naked Gun (2025) as Producer; The Wonderful World of Disney: Holiday Spectacular (2024) as Actor; Music by John Williams (2024) as Actor; May the 12th Be with You (2024) as Actor; Goodbye Channel 99 (2023) as Actor,1035259; 1393860; 1076708; 1284004; 1174526
214756,Scott Stuber,Producer,1995,30,Little Evil (2017) as Executive Producer; Patriots Day (2016) as Producer; Office Christmas Party (2016) as Producer; Free State of Jones (2016) as Producer; Central Intelligence (2016) as Producer,346671; 388399; 384682; 316152; 302699
214756,John Jacobs,Producer,1991,34,Ricky Stanicky (2024) as Producer; Dashing Through the Snow (2023) as Producer; Maya (2023) as Executive Producer; Ted 2 (2015) as Producer; The Boy Next Door (2015) as Producer,1022690; 1001884; 977074; 214756; 241251
214756,Seth MacFarlane,Producer,1995,30,The Naked Gun (2025) as Producer; The Wonderful World of Disney: Holiday Spectacular (2024) as Actor; Music by John Williams (2024) as Actor; May the 12th Be with You (2024) as Actor; Goodbye Channel 99 (2023) as Actor,1035259; 1393860; 1076708; 1284004; 1174526
214756,Jason Clark,Producer,1987,38,Trigger Warning (2024) as Executive Producer; The Blackening (2023) as Producer; The Aviary (2022) as Executive Producer; Songbird (2020) as Producer; Crimson (2020) as Executive Producer,704673; 1008392; 952374; 721625; 758893
214756,Mark Wahlberg,Actor,1991,34,Flight Risk (2025) as Actor; Larger than Life: Reign of the Boybands (2024) as Actor; Amber Alert (2024) as Thanks; The Union (2024) as Actor; The Union (2024) as Producer,1126166; 1379227; 1427612; 704239; 704239
214756,Seth MacFarlane,Actor,1995,30,The Naked Gun (2025) as Producer; The Wonderful World of Disney: Holiday Spectacular (2024) as Actor; Music by John Williams (2024) as Actor; May the 12th Be with You (2024) as Actor; Goodbye Channel 99 (2023) as Actor,1035259; 1393860; 1076708; 1284004; 1174526
214756,Amanda Seyfried,Actor,2004,21,The Housemaid (2025) as Actor; The Housemaid (2025) as Executive Producer; I Don't Understand You (2025) as Actor; Seven Veils (2025) as Actor; Skin & Bone (2022) as Actor,1368166; 1368166; 1229262; 1083782; 964928
265208,Simon West,Director,1974,51,Bride Hard (2025) as Director; The Legend Hunters (2025) as Director; Old Guy (2024) as Director; Skyfire (2019) as Director; Gun Shy (2017) as Director,1124619; 683205; 1077782; 604872; 430682
265208,Steven Chasman,Producer,2001,24,Tin Soldier (2025) as Producer; Operation Fortune: Ruse de Guerre (2023) as Producer; Wrath of Man (2021) as Executive Producer; Fast & Furious Presents: Hobbs & Shaw (2019) as Executive Producer; Mechanic: Resurrection (2016) as Executive Producer,977294; 739405; 637649; 384018; 278924
